Location,Distance from Junction,Size of House,Number of Rooms,Distance from Metro,Furnished,Parking,Water & Electricity,Rent
Silk Board,2878.3129885160583,491,1,4798.201058827939,Furnished,No,No,30850.0
Silk Board,932.714467781699,465,1,925.1138849387958,Furnished,Yes,Yes,38169.0
Kengeri,9638.231608784736,308,4,789.9711532333408,Furnished,No,Yes,15003.0
Silk Board,1350.801462257607,342,3,3567.0953045033584,Furnished,Yes,Yes,25670.0
Silk Board,1517.7540985110204,258,3,372.7594243511606,Furnished,Yes,No,29886.0
K.R Puram,8895.766183304922,374,2,2414.4572799713837,Furnished,Yes,Yes,15203.0
Kengeri,9439.28283476458,394,4,2420.265595761036,Furnished,Yes,Yes,22681.0
K.R Puram,7658.2903923490985,232,2,1550.1266547954567,Furnished,Yes,Yes,19946.0
K.R Puram,54.0492367266987,200,2,4652.218708400988,Furnished,Yes,Yes,21967.0
Kengeri,13.462709565636999,200,2,1412.7171754800572,Furnished,Yes,Yes,23317.0
Electronic City,3781.007697874508,412,2,1442.2097611912327,Furnished,Yes,Yes,20095.0
K.R Puram,1433.9537001089252,348,1,1171.4998211186057,Furnished,Yes,Yes,18094.0
Majestic,183.86142151597284,337,2,728.9401761028153,Not furnished,Yes,Yes,29568.0
Majestic,4640.666894045047,419,3,1820.055276742264,Furnished,Yes,Yes,22648.0
Silk Board,9430.618974069715,214,2,3404.4363000021503,Furnished,Yes,Yes,34503.0
Majestic,3238.195749024314,200,1,3710.814313853779,Furnished,Yes,Yes,31812.0
Silk Board,6611.406784286965,386,5,4067.094582153405,Furnished,Yes,Yes,30482.0
Electronic City,6522.353531324407,200,5,987.7194426577929,Furnished,Yes,Yes,19663.0
Kengeri,2510.8010366516774,311,5,178.1634411986488,Furnished,Yes,No,14529.0
Kengeri,6504.252488238643,719,4,4873.42929244196,Not furnished,Yes,No,18727.0
Kengeri,2123.3397428689127,200,3,71.66259643214268,Furnished,No,Yes,11784.0
Majestic,1220.0741357688905,285,1,4803.394189790292,Not furnished,Yes,Yes,19888.0
Electronic City,7013.832855596901,200,5,4144.072093558999,Furnished,No,Yes,14912.0
Majestic,1134.4081710391674,314,1,4560.373805125682,Furnished,Yes,Yes,32256.0
Majestic,9969.092185893553,644,1,1935.92856305573,Furnished,No,Yes,27100.0
Electronic City,1834.5240115022932,420,4,986.0099942551665,Furnished,Yes,Yes,27542.0
Electronic City,5941.418627564575,257,5,3032.3184258778247,Furnished,Yes,Yes,24350.0
Electronic City,4113.745714125894,677,2,3706.255853582434,Furnished,Yes,No,32337.0
Electronic City,1263.864224056671,200,1,654.3053316233028,Furnished,Yes,Yes,16977.0
Kengeri,278.439075774134,418,5,3988.10757342267,Not furnished,No,Yes,12329.0
Yelahanka,6227.322822928333,359,1,1042.9666000627897,Furnished,Yes,Yes,25489.0
Yelahanka,8067.575637891261,312,4,2458.3864645423,Furnished,Yes,Yes,21412.0
Electronic City,8420.15661506744,471,4,4282.412249390764,Furnished,Yes,Yes,30335.0
Yelahanka,4827.134730769345,200,2,967.1225552134626,Not furnished,Yes,Yes,22618.0
Yelahanka,7774.554671823856,396,4,1209.4232399139376,Not furnished,No,Yes,13913.0
Electronic City,6728.4713348854475,377,5,313.85578249595756,Furnished,Yes,Yes,24091.0
Yelahanka,7242.545274991332,219,4,733.0705589156522,Furnished,Yes,Yes,18858.0
Majestic,4925.990052218141,642,2,732.6290989068435,Furnished,Yes,Yes,20625.0
Silk Board,6334.1174024212705,322,3,1017.1375107706876,Furnished,Yes,Yes,32973.0
Silk Board,8055.25913576057,329,1,1431.0019853249196,Furnished,Yes,Yes,24976.0
Electronic City,3978.8417555702304,200,1,4074.916822392704,Furnished,Yes,Yes,18241.0
Kengeri,8059.789008675837,325,5,4578.819320905587,Not furnished,Yes,Yes,19436.0
Electronic City,5920.168427890629,700,2,2031.4030461447512,Not furnished,Yes,Yes,19688.0
Kengeri,1659.0102437078624,312,2,641.0447599415542,Furnished,Yes,Yes,11196.0
Silk Board,246.84157224584612,427,2,1119.0496254776533,Furnished,Yes,No,27618.0
Electronic City,3627.5360039915204,492,1,3681.0298842761276,Furnished,Yes,Yes,25141.0
K.R Puram,5466.963282963398,322,4,3387.127596064449,Furnished,No,No,19293.0
Majestic,8398.203522034884,288,1,4836.036508028452,Not furnished,Yes,Yes,30951.0
Yelahanka,1274.856801402462,420,1,72.44340297541618,Furnished,Yes,Yes,14884.0
Kengeri,8002.063476835791,313,1,3753.7938014117844,Furnished,No,Yes,9663.0
K.R Puram,8630.090460672269,300,4,2528.968002264908,Furnished,Yes,Yes,18362.0
Yelahanka,1506.874870008338,490,3,4513.464889612296,Semi-furnished,Yes,No,26474.0
Yelahanka,8515.94319304219,339,5,2880.8333706343346,Furnished,Yes,No,13732.0
Electronic City,9914.535678427921,531,3,2233.3386223070775,Furnished,No,Yes,32839.0
Yelahanka,7268.388310482375,336,3,3329.253047464974,Furnished,Yes,Yes,12811.0
Majestic,7847.6968182498795,200,1,4167.6172109049885,Furnished,Yes,Yes,30993.0
K.R Puram,9944.152675588735,200,3,1412.49275086426,Furnished,No,No,19619.0
Yelahanka,6054.812505259453,200,1,537.6352189212896,Furnished,Yes,Yes,18242.0
Electronic City,3078.863820162494,200,1,2165.0905915966023,Semi-furnished,Yes,No,16763.0
Majestic,8375.308340760557,389,5,1072.5993640586428,Semi-furnished,Yes,Yes,30916.0
Silk Board,6144.857775116312,204,2,2147.7058769760456,Furnished,Yes,Yes,39404.0
K.R Puram,5811.954237209566,200,1,4955.240863994751,Furnished,Yes,Yes,28714.0
Yelahanka,2536.355555140383,330,3,2870.6104688701093,Semi-furnished,Yes,No,25642.0
Electronic City,7563.342695828866,200,5,3468.0011142337185,Furnished,Yes,No,14733.0
Silk Board,816.6727586009625,419,3,3389.6421123070922,Furnished,No,Yes,30842.0
Silk Board,9242.870707946613,415,2,4103.504181430318,Furnished,Yes,Yes,28378.0
Kengeri,3258.2346077048473,431,4,4720.642995076898,Furnished,Yes,No,17431.0
Majestic,1277.7465278999045,200,2,3294.0904910402674,Furnished,Yes,Yes,36849.0
Yelahanka,4423.665331024188,356,5,2380.473223766041,Furnished,No,Yes,26662.0
Electronic City,424.69909256533157,331,2,1589.1547320895572,Furnished,Yes,Yes,20693.0
Kengeri,6846.261942649663,200,2,1801.3715006193354,Furnished,Yes,Yes,24329.0
Majestic,9027.055104453562,200,5,1672.4030406202833,Furnished,Yes,Yes,18640.0
Kengeri,8372.630071385087,333,5,1622.3274563694495,Furnished,Yes,Yes,22211.0
K.R Puram,1273.6947344788107,509,3,3473.1250219104713,Semi-furnished,Yes,Yes,19246.0
Majestic,1262.7113710773185,200,1,2938.545149759321,Furnished,No,Yes,33361.0
Majestic,8134.344823242641,225,4,1009.9752245886312,Furnished,Yes,Yes,35497.0
Yelahanka,9242.542746031158,369,4,4848.130095830979,Furnished,No,Yes,24797.0
Majestic,4606.698298334892,518,4,2138.627576771596,Furnished,Yes,No,30383.0
Kengeri,4989.711169137659,303,2,2830.432005340392,Furnished,No,Yes,13890.0
Majestic,3182.620413857259,639,5,3513.0048339488135,Not furnished,Yes,Yes,37341.0
Yelahanka,8942.65118256414,200,5,3068.386883384477,Furnished,Yes,Yes,12878.0
Yelahanka,6449.029052923559,200,5,1555.258845478004,Furnished,Yes,Yes,13825.0
K.R Puram,2882.515771673685,502,1,3988.5328674368834,Furnished,Yes,Yes,23979.0
Kengeri,2987.828710542516,200,5,550.7681978981343,Not furnished,Yes,No,15311.0
Silk Board,8912.000730636024,419,5,2844.979173518357,Furnished,Yes,Yes,34635.0
Silk Board,136.34023905821468,305,2,1366.5861150705034,Furnished,Yes,Yes,35602.0
Majestic,3227.265727266384,214,3,3078.8118383650913,Furnished,No,Yes,37354.0
K.R Puram,5543.566812163691,285,4,1089.967405421849,Furnished,Yes,Yes,21550.0
Electronic City,1482.1746209932462,200,2,3860.998276046691,Furnished,Yes,Yes,30521.0
Majestic,920.9875419958979,302,2,1137.6816563291632,Furnished,Yes,No,30325.0
K.R Puram,8152.7633109056,352,2,4451.960674834163,Furnished,Yes,Yes,20996.0
Kengeri,8944.043886485073,287,4,4307.774523351156,Furnished,Yes,Yes,20216.0
Kengeri,8236.064207981895,262,2,1811.9672600690562,Furnished,Yes,Yes,12982.0
Kengeri,8987.878897373477,388,3,1929.1014443701292,Furnished,Yes,Yes,14199.0
Kengeri,5531.1197105837155,598,5,3507.5172884374524,Furnished,Yes,Yes,15794.0
Kengeri,8122.581209903419,310,3,451.86768986241964,Furnished,Yes,Yes,13341.0
K.R Puram,3840.426383911004,472,5,404.59706087839663,Not furnished,Yes,Yes,21922.0
K.R Puram,6662.678614790385,205,5,681.6209841697157,Furnished,Yes,No,19286.0
Yelahanka,9888.355313891645,200,2,2812.3766772492613,Furnished,No,Yes,21063.0
Silk Board,2257.2772383912743,417,2,745.0115241554661,Furnished,Yes,Yes,39152.0
Kengeri,3898.997462910806,314,4,1388.086408864907,Furnished,Yes,Yes,11085.0
Electronic City,4800.473773100856,519,1,3234.5570377010395,Furnished,No,Yes,28506.0
K.R Puram,1380.1548702005173,548,3,78.11888918357768,Furnished,Yes,Yes,18654.0
Electronic City,810.3861046505679,475,4,901.1830397673492,Furnished,Yes,No,32202.0
Electronic City,8297.228663216243,472,4,4649.653314378518,Furnished,Yes,No,33149.0
Electronic City,9767.943728275863,200,3,3317.888117043565,Furnished,Yes,Yes,23619.0
Yelahanka,4047.2506382965867,416,3,1527.7555711160674,Furnished,No,Yes,27092.0
K.R Puram,876.4983619465328,479,5,226.51712030584304,Furnished,Yes,Yes,27878.0
Electronic City,658.1176069057648,200,1,2930.244042062135,Furnished,Yes,Yes,24728.0
Kengeri,8913.182063602986,351,2,1114.331549462203,Furnished,No,Yes,9608.0
Majestic,4638.142497276799,200,1,4800.877193591666,Furnished,Yes,No,24669.0
Electronic City,3200.2731656239193,504,1,3434.804774934223,Semi-furnished,Yes,Yes,21728.0
Yelahanka,4764.612712393995,206,2,4870.61943173053,Furnished,No,Yes,19080.0
K.R Puram,3183.0409469234733,231,1,4244.494487057834,Furnished,Yes,Yes,24287.0
Yelahanka,4890.3577530761995,280,4,2415.137075952703,Semi-furnished,Yes,Yes,19145.0
Electronic City,8595.563969179368,687,4,3347.815738270718,Furnished,Yes,Yes,33647.0
K.R Puram,5923.013710620957,500,2,4060.5359776965006,Furnished,No,Yes,21392.0
Majestic,6946.537728101754,591,2,2890.892408313116,Furnished,Yes,Yes,36542.0
Electronic City,3646.706762343366,200,3,307.437504841096,Semi-furnished,Yes,Yes,26852.0
Yelahanka,7385.058785105188,200,3,2352.2315693681558,Furnished,Yes,No,16680.0
Silk Board,6666.170848793723,550,1,652.8666539331996,Furnished,Yes,Yes,30022.0
Kengeri,1195.6199775205646,200,1,3574.2338760508524,Furnished,Yes,Yes,11829.0
Yelahanka,5726.428531155846,249,2,3403.14457818801,Not furnished,No,No,16272.0
K.R Puram,2567.4349630975803,658,1,4964.540960260567,Furnished,Yes,Yes,16550.0
Electronic City,8040.956696335928,205,5,3144.0490089705386,Furnished,No,Yes,17184.0
Kengeri,4259.377084669394,200,4,4000.6897119197083,Furnished,Yes,No,15603.0
Electronic City,9946.84165196487,357,1,1341.4392544441628,Semi-furnished,Yes,No,27596.0
K.R Puram,925.0043793896378,200,1,1700.1206764798987,Furnished,Yes,Yes,31473.0
Electronic City,7803.478627401585,535,3,4585.121261889186,Furnished,No,Yes,31971.0
Silk Board,6737.017335421565,215,5,3775.961298128725,Furnished,No,Yes,35917.0
Kengeri,7674.988305907054,200,1,3276.3458739881885,Furnished,No,Yes,10795.0
Kengeri,3075.2979549045635,354,4,1270.1384629152012,Furnished,Yes,Yes,15612.0
K.R Puram,4920.544893824006,289,1,3492.8896436258256,Furnished,Yes,Yes,29369.0
Silk Board,7965.085197237084,387,2,4433.818225209757,Semi-furnished,Yes,Yes,27643.0
Yelahanka,2325.41331620855,428,5,1153.9882744732822,Furnished,Yes,Yes,26716.0
Electronic City,2260.331967886521,317,1,3530.619739579116,Not furnished,Yes,Yes,21057.0
Majestic,5510.509532949323,200,5,1968.4697669875434,Furnished,Yes,No,27073.0
Electronic City,5235.635795298558,459,1,593.8370647030999,Furnished,Yes,Yes,21696.0
Electronic City,2822.6247041293286,245,4,3817.30338266841,Furnished,Yes,Yes,33446.0
Yelahanka,2980.7565052482278,219,4,835.6839459216819,Furnished,Yes,No,25574.0
Electronic City,2778.451632065655,371,5,1264.4813674518568,Furnished,Yes,Yes,23964.0
Silk Board,7715.120619984877,200,3,3914.710204393461,Furnished,Yes,No,30851.0
Silk Board,6519.008655624606,408,3,3710.663928123188,Furnished,Yes,Yes,30973.0
Kengeri,8324.171834102528,379,2,1270.915330221975,Furnished,Yes,No,23010.0
K.R Puram,9754.730283140218,518,3,4704.8230717318365,Furnished,Yes,Yes,22311.0
Majestic,4741.642962719864,274,5,1076.4261253859574,Not furnished,Yes,Yes,18606.0
Electronic City,666.9388140544885,548,3,4968.111074820162,Semi-furnished,Yes,Yes,21476.0
Electronic City,480.9231041203543,429,2,3689.4993597571975,Furnished,Yes,Yes,17292.0
Yelahanka,2956.650392716191,345,1,1962.5384527570134,Furnished,Yes,Yes,14321.0
K.R Puram,9325.44589352451,622,3,651.7460333124197,Furnished,Yes,Yes,25977.0
Silk Board,5232.130549708749,364,5,1602.5497757980684,Furnished,Yes,Yes,20973.0
Majestic,2717.8651608012915,272,5,968.6925573252436,Furnished,Yes,Yes,36151.0
Kengeri,3991.6679451101954,368,2,3109.1979324700965,Furnished,Yes,Yes,20865.0
Silk Board,5985.9510740467085,269,2,1784.2757656897834,Not furnished,Yes,Yes,20692.0
K.R Puram,6529.496581378422,406,4,1475.036306219285,Furnished,Yes,No,18093.0
Kengeri,1539.1950978290504,548,4,3785.6659585918605,Furnished,Yes,Yes,19016.0
Yelahanka,9770.31676545176,348,4,1152.9971742509154,Furnished,Yes,Yes,26558.0
Yelahanka,5447.722269827888,363,1,2934.4465871275233,Furnished,Yes,Yes,14835.0
Electronic City,1356.883177922793,469,5,972.980464117728,Furnished,Yes,Yes,26572.0
K.R Puram,8936.352533461337,528,4,3573.993038665478,Semi-furnished,Yes,Yes,20077.0
Majestic,746.384310794288,282,5,3125.6074187629833,Not furnished,Yes,No,26947.0
Kengeri,9077.354331775126,375,2,3990.767575885155,Not furnished,Yes,No,15707.0
Silk Board,9965.656562889824,470,1,342.48537381339486,Semi-furnished,Yes,Yes,29642.0
K.R Puram,7004.317991565039,399,2,1050.5272475251077,Not furnished,No,Yes,19676.0
K.R Puram,7704.4722107398975,200,5,772.3018027673284,Not furnished,No,Yes,16581.0
Yelahanka,3373.028364674864,497,4,952.8062014286832,Furnished,No,Yes,14257.0
Electronic City,9415.768527339338,428,2,515.0703956902536,Furnished,Yes,Yes,28933.0
Electronic City,5297.139661083676,439,3,2810.409507180364,Furnished,No,Yes,17519.0
Kengeri,7323.884465975549,200,1,2967.157035252773,Furnished,No,Yes,19990.0
Yelahanka,9241.077159112794,372,5,4217.448777970051,Furnished,No,Yes,13797.0
K.R Puram,9751.799759755084,476,4,2088.6908822188134,Semi-furnished,No,No,22627.0
Majestic,8332.043565966744,217,2,2661.9235653722385,Furnished,Yes,Yes,20634.0
Yelahanka,3030.1750698203,256,1,4956.520297055555,Furnished,Yes,No,17388.0
Kengeri,9665.475165520824,479,4,2659.225416795896,Furnished,Yes,Yes,16259.0
Kengeri,6281.195312435718,249,2,2867.8804387600803,Furnished,Yes,Yes,10970.0
Yelahanka,9306.424763519599,318,5,4979.58707438692,Furnished,No,Yes,12083.0
Kengeri,6761.0502581435185,200,3,4970.646907248863,Furnished,Yes,Yes,24355.0
Yelahanka,3072.3896184772047,622,3,2120.152227986435,Furnished,Yes,No,25528.0
Silk Board,3700.2452414281593,428,5,3174.734148014822,Furnished,Yes,Yes,33358.0
Yelahanka,5504.7177710294045,311,1,2404.012539186266,Furnished,Yes,Yes,16177.0
Yelahanka,7900.14841559882,283,5,3603.5772582860013,Furnished,Yes,Yes,15741.0
Kengeri,3179.8255134033493,200,2,4691.932605666958,Furnished,Yes,Yes,21567.0
Kengeri,5797.311661341921,333,1,1548.2965418663664,Furnished,Yes,Yes,12778.0
Electronic City,3456.2499357640154,449,3,4094.3758521947066,Furnished,No,Yes,24365.0
Electronic City,8157.694046351072,228,2,3274.2446638799006,Furnished,Yes,Yes,25942.0
Silk Board,4667.280937679504,365,4,1400.9240063710865,Furnished,No,Yes,21088.0
Electronic City,767.2282685288523,294,4,3986.4982909099685,Furnished,Yes,No,33675.0
Yelahanka,1660.5252148153638,557,4,2135.6650959878575,Not furnished,Yes,Yes,19315.0
Kengeri,611.0466761963229,254,3,601.9858774064746,Furnished,Yes,Yes,24675.0
Electronic City,4993.029460143252,466,5,4967.081786379047,Furnished,Yes,Yes,33925.0
Electronic City,1063.3729734822716,559,1,2128.2316648615947,Semi-furnished,No,Yes,18563.0
Silk Board,1141.399693096321,293,3,2707.7627368808066,Not furnished,No,Yes,27547.0
K.R Puram,9410.48260038377,261,2,4039.808653818803,Furnished,Yes,Yes,17935.0
Silk Board,8726.550721760554,488,2,4804.3806755996675,Semi-furnished,Yes,Yes,29418.0
Yelahanka,4520.86596811366,200,4,4364.439249801579,Semi-furnished,Yes,Yes,20289.0
Kengeri,9858.053208502059,414,1,2625.266039007833,Furnished,Yes,Yes,20422.0
Silk Board,1.865281706631139,200,4,2728.4803776655763,Furnished,Yes,No,32989.0
Electronic City,6139.794562733938,533,2,1404.4346830483146,Furnished,Yes,Yes,33783.0
Kengeri,6164.281773718701,312,2,2314.0143907954184,Furnished,Yes,No,23592.0
Kengeri,4574.430558698882,336,5,4734.194410875737,Furnished,Yes,No,10651.0
Electronic City,3969.4797293429283,241,5,3634.7047196932813,Furnished,Yes,Yes,29852.0
Silk Board,4553.831354806076,200,5,59.384953707664614,Semi-furnished,Yes,No,29528.0
Electronic City,4149.604360796805,539,4,582.5339091137049,Semi-furnished,Yes,Yes,20545.0
K.R Puram,7304.924774822994,324,1,4619.056349789275,Not furnished,No,Yes,28803.0
Kengeri,1353.5543497328406,831,5,4243.596644638071,Furnished,Yes,Yes,13707.0
Majestic,1976.3922059113015,228,3,2430.8223287419846,Furnished,Yes,Yes,36361.0
Majestic,1805.182283924236,252,5,3084.891404336293,Semi-furnished,Yes,Yes,36682.0
Yelahanka,2624.7058512126455,215,4,1448.2300519036246,Furnished,Yes,Yes,11981.0
Electronic City,5252.584187815833,323,1,3964.15376050212,Furnished,Yes,Yes,21594.0
Electronic City,1112.0874733821872,586,5,3016.5872344471995,Semi-furnished,No,Yes,31955.0
Yelahanka,8681.692953265041,501,1,3474.128527279576,Furnished,No,Yes,28807.0
Yelahanka,2973.6153130847233,200,3,1874.5491900449895,Furnished,Yes,Yes,13704.0
Yelahanka,1625.3798746870784,530,2,2152.190032557403,Furnished,Yes,Yes,28077.0
Kengeri,6756.213095982433,452,1,1038.4104148222839,Furnished,Yes,Yes,16182.0
K.R Puram,380.86300599319276,422,5,4740.262714604359,Furnished,Yes,Yes,20830.0
Electronic City,6199.685648741642,247,4,4732.785101932872,Furnished,Yes,No,24126.0
Kengeri,6981.984306764998,258,4,4088.7562361995206,Furnished,Yes,Yes,11129.0
Yelahanka,2149.165313867192,370,4,4677.7755959959195,Semi-furnished,Yes,Yes,14122.0
Electronic City,419.6407344363429,267,4,3326.640262901894,Furnished,No,Yes,34610.0
Kengeri,3636.453589194496,546,1,1173.259346515374,Furnished,Yes,Yes,11143.0
K.R Puram,985.9423024193648,260,4,3801.052610962456,Furnished,Yes,Yes,17323.0
Kengeri,1164.7784967333707,200,2,1626.381046208512,Furnished,Yes,Yes,18890.0
K.R Puram,2542.6123144486455,200,3,2202.4084464920707,Not furnished,Yes,Yes,22088.0
Yelahanka,2954.679246267593,200,1,1371.7508192768485,Furnished,Yes,Yes,19321.0
K.R Puram,5299.703410214206,310,1,2118.1095886063486,Furnished,Yes,Yes,26514.0
Electronic City,6783.918855030131,382,4,3396.586828283475,Furnished,No,Yes,17569.0
Yelahanka,5927.709408701848,358,4,553.0528065251489,Furnished,No,Yes,14457.0
Electronic City,1483.6033728951681,419,1,526.0346449650821,Semi-furnished,No,Yes,32041.0
Majestic,1720.8603245262643,312,4,3418.85006044071,Semi-furnished,Yes,Yes,34830.0
Silk Board,8787.692497929145,317,4,3897.905833873038,Furnished,Yes,Yes,27085.0
K.R Puram,5583.523150641136,612,4,2757.3334235618254,Not furnished,Yes,No,27470.0
Silk Board,8699.37832897689,530,4,908.2050703373274,Furnished,Yes,No,36126.0
Silk Board,3715.465113198744,411,4,2153.7842418049418,Furnished,Yes,Yes,28550.0
K.R Puram,6144.000074313239,487,5,3790.877611920072,Furnished,Yes,Yes,18520.0
Yelahanka,5236.6341605461075,200,5,3428.6655077624987,Furnished,Yes,Yes,14567.0
Majestic,3191.2348982046256,226,5,549.3273890968503,Furnished,No,Yes,20548.0
